calificador, calificado, valor
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
123, asd, 1
123, 456, 1
asd, 123, 2
asd, 456, 5
132, 1, 5
132, asd, 5
132, qwe, 2
132, jhgjhgjhg, 5
